"Table S3. Molecular formulas, point group symmetry, and common organic functional groups for the molecules in the GDB9-W1-F12 database. ",,,,Carbonyls,Hydroxyl,Ester (cyclic or acyclic),Nitrogens w/o hydrogens,,,Carbons w/o hydrogens,,,,,
File Name,Mol. Formula,# of nonhydrogen atoms,Point Group,C=O,–OH,–O–,N,NH,–NH2,C,CH,CH2,–CH3,–CF3,
dsgdb9nsd_000018,C3H6O,4,C2,1,0,0,0,0,0,1,0,0,2,0,
dsgdb9nsd_000019,C2H5NO,4,C1,1,0,0,0,0,1,1,0,0,1,0,
dsgdb9nsd_000020,CH4N2O,4,C2,1,0,0,0,0,2,1,0,0,0,0,
dsgdb9nsd_000021,C4H10,4,C1,0,0,0,0,0,0,0,1,0,3,0,
dsgdb9nsd_000022,C3H8O,4,C1,0,1,0,0,0,0,0,1,0,2,0,
dsgdb9nsd_000023,C4H2,4,D*H,0,0,0,0,0,0,2,2,0,0,0,
dsgdb9nsd_000024,C3HN,4,C*V,0,0,0,1,0,0,2,1,0,0,0,
dsgdb9nsd_000025,C2N2,4,D*H,0,0,0,2,0,0,2,0,0,0,0,
dsgdb9nsd_000026,C3H2O,4,CS,1,0,0,0,0,0,1,2,0,0,0,
dsgdb9nsd_000027,C2HNO,4,C1,1,0,0,1,0,0,1,1,0,0,0,
dsgdb9nsd_000029,C4H6,4,D3,0,0,0,0,0,0,2,0,0,2,0,
dsgdb9nsd_000030,C4H6,4,C1,0,0,0,0,0,0,1,1,1,1,0,
dsgdb9nsd_000031,C3H5N,4,C1,0,0,0,1,0,0,1,0,1,1,0,
dsgdb9nsd_000032,C2H4N2,4,C1,0,0,0,1,0,1,1,0,1,0,0,
dsgdb9nsd_000033,C3H4O,4,C1,0,1,0,0,0,0,1,1,1,0,0,
dsgdb9nsd_000034,C2H3NO,4,C1,0,1,0,1,0,0,1,0,1,0,0,
dsgdb9nsd_000035,C3H6O,4,C1,1,0,0,0,0,0,0,1,1,1,0,
dsgdb9nsd_000036,C2H5NO,4,C1,1,0,0,0,1,0,0,1,0,1,0,
dsgdb9nsd_000037,C2H4O2,4,C1,1,0,1,0,0,0,0,1,0,1,0,
dsgdb9nsd_000038,C2H4O2,4,C1,1,1,0,0,0,0,0,1,1,0,0,
