			TAEe used for			TAEe used for
			evaluating 			evaluating DFT 
			CCSD(T) composite		and DHDFT 	
			methods (a)			methods (b)
cyclobutene		1000.736			1001.542
t-butadiene		1012.319			1013.069
cyclobutane		1149.556			1150.396
n-pentane		1596.279			1597.309
benzene			1367.594			1368.800
acetic			802.815				803.970
hclo4			331.121				335.412
c2f6			788.286				791.944
c2cl6			555.080				561.305
n2o4			469.938				471.670
cloocl			146.768				149.125
clo3			166.748				169.836
hoclo			202.488				204.289
pf5			557.142 (c)			561.565
sf6			479.442				485.425
oxadiazole		705.156				706.069
dioxetan2one		751.504				753.117
dioxetane		748.702				750.002
dithiotane		682.157				684.391
borole			1056.791			1057.669
c2cl4			467.236				471.760
c2f4			587.424				590.066
cis-c2f2cl2		525.420				529.019
trans-c2f2cl2		525.792				529.390
cyclopentadiene		1180.925			1181.901
formic-anhydride	755.426				757.007
furan			993.909				995.125
oxetane			947.068				948.139
pyrrole			1071.821			1072.798
silole			1099.017			1100.905
thiophene		963.256				964.987
beta-lactim		992.722				993.865
clf5			183.356				186.794
clf3			126.312				128.547
pf3			363.498				365.599
hoclo2			270.537				273.177
h2no			274.418				274.970
nh2oh			359.225				359.723
cyclopropane		853.353				853.968
cyclopropene		681.329				681.940
ch3ph2			538.650				539.303
nh2f			255.924				256.470
cclh3			394.796				396.046
clno			190.737				191.958
tetrahedrane		792.645				793.489
n-butane		1301.813			1302.630
c2cl2			347.997				350.586
c2clh3			542.891				544.317
c2clh5			691.472				692.913
c2clh			377.071				378.516
ccl2h2			369.457				371.701
ccl2o			344.570				347.085
ccl3h			342.245				345.416
ccl4			311.370				315.419
cf2cl2			389.010				392.237
fno			214.629				215.427
ch2clf			401.064				402.838
chf3			457.734				459.564
clcof			381.279				383.378
formamide		567.408				568.150
cyclobutadiene		820.060				820.838
allyl			766.251				766.855
cyclopropyl		737.091				737.718
h2ccn			512.204				512.654
oxirene			455.330				456.030
oxirane			650.700				651.490
dioxirane		409.170				410.010
ketene			532.700				533.440
acetaldehyde		677.070				677.850
formic			500.900				501.870
methanol		512.860				513.470
ethanol			810.390				811.200
glyoxal			633.910				635.050
t-hcoh			321.870				322.460
c-hcoh			317.040				317.640
hcnh			335.900				336.210
hocn			409.360				410.020
