,Ee,E0,H298,G298
1,0.000,0.000,0.000,0.000
2,43.061,44.004,43.867,44.022
3,65.423,62.980,63.424,62.660
4,94.286,92.024,92.402,91.675
5,117.426,115.600,115.870,115.380
6,142.687,136.537,137.782,135.701
7,159.860,157.147,157.530,156.755
8,164.242,160.942,161.425,160.473
9,167.186,163.979,164.430,163.484
10,173.356,168.619,169.564,167.752
11,194.199,190.460,191.067,189.919
12,198.509,193.059,193.936,192.373
13,206.310,202.628,203.129,202.186
14,210.844,205.213,206.110,204.515
15,216.246,212.970,213.400,212.521
16,219.529,213.323,214.468,212.347
17,237.259,232.367,233.081,231.752
18,241.795,236.409,237.239,235.737
19,286.164,281.381,282.048,280.826
20,294.313,288.599,289.426,287.855
21,332.533,326.610,327.421,326.009
22,342.613,334.145,335.594,333.032
23,376.973,367.672,369.064,366.435
24,388.530,379.737,381.212,378.389
25,400.381,392.698,393.783,391.832
26,412.348,403.376,404.786,402.316
27,448.018,438.821,440.218,437.803
28,472.647,461.760,463.414,460.465
29,763.303,736.756,742.821,729.677
