File_Name	Mol_Formula	Nonhydrogen_Atoms	Point_Group	[W1-F12 all-electron, nonrel. CCSD(T)/CBS (kcal/mol)]
dsgdb9nsd_000018	C3H6O	4	C2	979.6080862
dsgdb9nsd_000019	C2H5NO	4	C1	868.6740954
dsgdb9nsd_000020	CH4N2O	4	C2	753.0954361
dsgdb9nsd_000021	C4H10	4	C1	1304.238636
dsgdb9nsd_000022	C3H8O	4	C1	1109.728695
dsgdb9nsd_000023	C4H2	4	D*H	697.2747575
dsgdb9nsd_000024	C3HN	4	C*V	601.8664937
dsgdb9nsd_000025	C2N2	4	D*H	501.5500703
dsgdb9nsd_000026	C3H2O	4	CS	663.5735377
dsgdb9nsd_000027	C2HNO	4	C1	567.5023227
dsgdb9nsd_000029	C4H6	4	D3	1004.591097
dsgdb9nsd_000030	C4H6	4	C1	999.9244342
dsgdb9nsd_000031	C3H5N	4	C1	910.8710031
dsgdb9nsd_000032	C2H4N2	4	C1	778.2007734
dsgdb9nsd_000033	C3H4O	4	C1	798.3776762
dsgdb9nsd_000034	C2H3NO	4	C1	707.2232617
dsgdb9nsd_000035	C3H6O	4	C1	971.9951535
dsgdb9nsd_000036	C2H5NO	4	C1	857.7486781
dsgdb9nsd_000037	C2H4O2	4	C1	781.3973193
dsgdb9nsd_000038	C2H4O2	4	C1	772.5916668
dsgdb9nsd_000039	C4H10	4	CI	1302.751251
dsgdb9nsd_000040	C3H8O	4	C1	1105.842635
dsgdb9nsd_000041	C3H8O	4	C1	1096.737748
dsgdb9nsd_000042	C2H6O2	4	C1	910.530234
dsgdb9nsd_000043	C4H8	4	C1	1150.73511
dsgdb9nsd_000044	C3H6O	4	C1	951.0405845
dsgdb9nsd_000045	C3H7N	4	CS	1011.023998
dsgdb9nsd_000046	C3H6O	4	C1	951.0966587
dsgdb9nsd_000047	C4H8	4	D2D	1150.789672
dsgdb9nsd_000048	C3H6O	4	C2V	948.4062305
dsgdb9nsd_000049	C3H7NO	5	C1	1116.338007
dsgdb9nsd_000050	C4H5N	5	CS	1073.585089
dsgdb9nsd_000051	C3H4N2	5	C1	951.7617309
dsgdb9nsd_000053	C3H3NO	5	CS	874.7784701
dsgdb9nsd_000054	C5H12	5	C1	1601.5074
dsgdb9nsd_000055	C4H10O	5	C1	1408.306694
dsgdb9nsd_000056	C4H4O	5	C1	966.4891467
dsgdb9nsd_000057	C3H3NO	5	C1	871.8041441
dsgdb9nsd_000058	C2H3N3	5	C1	815.2004466
dsgdb9nsd_000060	C3H4O2	5	C1	938.4983074
dsgdb9nsd_000061	C2H4N2O	5	C1	886.2891718
dsgdb9nsd_000062	C2H3NO2	5	C1	823.1032197
dsgdb9nsd_000063	C5H8	5	C1	1295.875391
dsgdb9nsd_000064	C4H7N	5	C1	1206.821859
dsgdb9nsd_000065	C3H6N2	5	C1	1077.514321
dsgdb9nsd_000066	C4H6O	5	C1	1098.310921
dsgdb9nsd_000067	C3H5NO	5	C1	1007.408251
dsgdb9nsd_000068	C4H8O	5	C1	1268.219892
dsgdb9nsd_000069	C3H6O2	5	C1	1071.623042
dsgdb9nsd_000070	C3H7NO	5	C1	1148.412064
dsgdb9nsd_000071	C3H6O2	5	C1	1079.134607
