File_Name	Mol_Formula	Nonhydrogen_Atoms	Point_Group	[W1-F12 all-electron, rel. CCSD(T)/CBS (kcal/mol)]
dsgdb9nsd_000018	C3H6O	4	C2	978.8885776
dsgdb9nsd_000019	C2H5NO	4	C1	867.8306536
dsgdb9nsd_000020	CH4N2O	4	C2	752.1532306
dsgdb9nsd_000021	C4H10	4	C1	1303.469655
dsgdb9nsd_000022	C3H8O	4	C1	1108.894622
dsgdb9nsd_000023	C4H2	4	D*H	696.7075328
dsgdb9nsd_000024	C3HN	4	C*V	601.35358
dsgdb9nsd_000025	C2N2	4	D*H	501.1024615
dsgdb9nsd_000026	C3H2O	4	CS	662.9649225
dsgdb9nsd_000027	C2HNO	4	C1	566.9585544
dsgdb9nsd_000029	C4H6	4	D3	1003.912841
dsgdb9nsd_000030	C4H6	4	C1	999.2588662
dsgdb9nsd_000031	C3H5N	4	C1	910.256665
dsgdb9nsd_000032	C2H4N2	4	C1	777.5161229
dsgdb9nsd_000033	C3H4O	4	C1	797.645837
dsgdb9nsd_000034	C2H3NO	4	C1	706.5426084
dsgdb9nsd_000035	C3H6O	4	C1	971.2735301
dsgdb9nsd_000036	C2H5NO	4	C1	856.8991432
dsgdb9nsd_000037	C2H4O2	4	C1	780.6049443
dsgdb9nsd_000038	C2H4O2	4	C1	771.7996494
dsgdb9nsd_000039	C4H10	4	CI	1301.976829
dsgdb9nsd_000040	C3H8O	4	C1	1104.995886
dsgdb9nsd_000041	C3H8O	4	C1	1095.895881
dsgdb9nsd_000042	C2H6O2	4	C1	909.6079896
dsgdb9nsd_000043	C4H8	4	C1	1149.960224
dsgdb9nsd_000044	C3H6O	4	C1	950.2911499
dsgdb9nsd_000045	C3H7N	4	CS	1010.224814
dsgdb9nsd_000046	C3H6O	4	C1	950.2487741
dsgdb9nsd_000047	C4H8	4	D2D	1150.028748
dsgdb9nsd_000048	C3H6O	4	C2V	947.6027988
dsgdb9nsd_000049	C3H7NO	5	C1	1115.40989
dsgdb9nsd_000050	C4H5N	5	CS	1072.623901
dsgdb9nsd_000051	C3H4N2	5	C1	950.7853387
dsgdb9nsd_000053	C3H3NO	5	CS	873.859997
dsgdb9nsd_000054	C5H12	5	C1	1600.554301
dsgdb9nsd_000055	C4H10O	5	C1	1407.29188
dsgdb9nsd_000056	C4H4O	5	C1	965.6909546
dsgdb9nsd_000057	C3H3NO	5	C1	871.0695313
dsgdb9nsd_000058	C2H3N3	5	C1	814.3303294
dsgdb9nsd_000060	C3H4O2	5	C1	937.650906
dsgdb9nsd_000061	C2H4N2O	5	C1	885.3010138
dsgdb9nsd_000062	C2H3NO2	5	C1	822.1337803
dsgdb9nsd_000063	C5H8	5	C1	1295.023465
dsgdb9nsd_000064	C4H7N	5	C1	1206.020128
dsgdb9nsd_000065	C3H6N2	5	C1	1076.647504
dsgdb9nsd_000066	C4H6O	5	C1	1097.397631
dsgdb9nsd_000067	C3H5NO	5	C1	1006.546517
dsgdb9nsd_000068	C4H8O	5	C1	1267.30979
dsgdb9nsd_000069	C3H6O2	5	C1	1070.639816
dsgdb9nsd_000070	C3H7NO	5	C1	1147.367486
dsgdb9nsd_000071	C3H6O2	5	C1	1078.140205
dsgdb9nsd_000072	C4H8O	5	C1	1273.943544
dsgdb9nsd_000073	C3H7NO	5	C1	1162.684849
dsgdb9nsd_000075	C2H6N2O	5	C1	1040.601545
dsgdb9nsd_000076	C3H7NO	5	C1	1141.304985
dsgdb9nsd_000077	C3H6O2	5	C1	1087.51238
dsgdb9nsd_000078	C2H5NO2	5	C1	972.1219732
dsgdb9nsd_000079	C2H5NO2	5	C1	966.7660478
dsgdb9nsd_000080	C2H5NO2	5	C1	967.9210042
dsgdb9nsd_000081	C4H10O	5	C1	1401.304856
dsgdb9nsd_000082	C3H8O2	5	C1	1207.884559
dsgdb9nsd_000083	C5H12	5	C1	1597.689118
dsgdb9nsd_000084	C4H10O	5	C1	1403.594625
dsgdb9nsd_000085	C4H10O	5	C1	1393.128407
dsgdb9nsd_000086	C5H10	5	C2V	1447.399444
dsgdb9nsd_000087	C4H8O	5	C1	1249.680689
dsgdb9nsd_000088	C4H8O	5	C1	1251.199299
dsgdb9nsd_000089	C3H5NO	5	CS	994.3607467
dsgdb9nsd_000090	C4H6O	5	CS	1122.88354
dsgdb9nsd_000091	C3H5NO	5	C1	1009.091018
dsgdb9nsd_000092	C3H4O2	5	CS	941.6254005
dsgdb9nsd_000093	C3H5NO	5	CS	986.9834752
dsgdb9nsd_000094	C3H4O2	5	CS	916.6483073
dsgdb9nsd_000095	C5H10	5	CS	1447.141745
dsgdb9nsd_000096	C4H8O	5	C1	1247.59501
dsgdb9nsd_000097	C4H8O	5	CS	1244.292491
dsgdb9nsd_000098	C4H8O	5	CS	1252.786133
dsgdb9nsd_000100	C5H10	5	C1	1445.163691
dsgdb9nsd_000101	C4H8O	5	C1	1248.164958
dsgdb9nsd_000102	C4H9N	5	C1	1305.567501
dsgdb9nsd_000103	C4H8O	5	C1	1248.510685
dsgdb9nsd_000104	C3H6O2	5	C1	1050.670669
dsgdb9nsd_000106	C4H6O	5	C2V	1073.906888
dsgdb9nsd_000107	C5H4	5	C2V	987.3357528
dsgdb9nsd_000108	C4H3N	5	CS	896.5316078
dsgdb9nsd_000109	C3H2N2	5	C1	803.2806087
dsgdb9nsd_000110	C4H4O	5	C1	961.5632662
dsgdb9nsd_000111	C3H3NO	5	C1	870.0876358
dsgdb9nsd_000112	C2H4N2O	5	C1	884.5528154
dsgdb9nsd_000113	C2H3NO2	5	C1	813.0761324
dsgdb9nsd_000114	C2H3NO2	5	C1	827.0680945
dsgdb9nsd_000115	C5H4	5	C3V	997.4538477
dsgdb9nsd_000116	C4H3N	5	C1	903.7219379
dsgdb9nsd_000117	C4H4O	5	C1	964.3730278
dsgdb9nsd_000118	C4H6O	5	CS	1097.330299
dsgdb9nsd_000119	C5H8	5	C1	1298.258847
dsgdb9nsd_000120	C3H7NO	5	C1	1123.944056
